date,ticker,close_price,sentiment_score,usd_inr_rate,interest_rate,unemployment_rate,return_1,return_direction
2020-04-09,TCS,1633.8109,0.0,75.343,4.4,7.859,0.03559197745469578,0
2020-04-13,TCS,1627.4277,0.0,76.249,4.4,7.859,-0.003906939291444256,0
2020-04-15,TCS,1605.1335,-0.6249,76.564,4.4,7.859,-0.013699041745449003,0
2020-04-15,TCS,1605.1335,0.1779,76.564,4.4,7.859,0.0,0
2020-04-15,TCS,1605.1335,0.0,76.564,4.4,7.859,0.0,0
2020-04-15,TCS,1605.1335,-0.5719,76.564,4.4,7.859,0.0,0
2020-04-16,TCS,1587.4648,0.0,76.805,4.4,7.859,-0.011007620238441151,1
2020-04-17,TCS,1670.8599,0.0,76.55,4.4,7.859,0.05253351129423467,1
2020-04-20,TCS,1682.3773,0.0,76.575,4.4,7.859,0.006893097380576529,0
2020-04-21,TCS,1607.4464,0.0,76.975,4.4,7.859,-0.04453870127705606,1
2020-04-22,TCS,1636.91,0.0,76.41,4.4,7.859,0.01832944476406806,1
2020-04-23,TCS,1737.511,0.0,75.895,4.4,7.859,0.06145786878936521,0
2020-04-24,TCS,1682.2848,0.0,76.27,4.4,7.859,-0.03178466208271491,0
2020-04-24,TCS,1682.2848,0.0,76.27,4.4,7.859,0.0,0
2020-04-24,TCS,1682.2848,0.34,76.27,4.4,7.859,0.0,0
2020-04-24,TCS,1682.2848,0.0,76.27,4.4,7.859,0.0,1
2020-04-27,TCS,1698.9821,0.4215,76.229,4.4,7.859,0.009925370543679701,0
2020-04-27,TCS,1698.9821,0.4215,76.229,4.4,7.859,0.0,0
2020-04-27,TCS,1698.9821,0.0,76.229,4.4,7.859,0.0,1
2020-04-28,TCS,1719.75,0.0,76.065,4.4,7.859,0.012223730903345054,0
2020-04-28,TCS,1719.75,-0.34,76.065,4.4,7.859,0.0,0
2020-04-28,TCS,1719.75,0.0,76.065,4.4,7.859,0.0,0
2020-04-28,TCS,1719.75,0.4767,76.065,4.4,7.859,0.0,0
2020-04-28,TCS,1719.75,0.0,76.065,4.4,7.859,0.0,1
2020-04-29,TCS,1762.8579,-0.5719,75.455,4.4,7.859,0.025066375926733553,0
2020-04-29,TCS,1762.8579,0.0,75.455,4.4,7.859,0.0,0
2020-04-29,TCS,1762.8579,0.2023,75.455,4.4,7.859,0.0,0
2020-04-29,TCS,1762.8579,0.0,75.455,4.4,7.859,0.0,1
2020-04-30,TCS,1863.5054,0.0,75.08,4.4,7.859,0.05709337094044842,0
2020-04-30,TCS,1863.5054,-0.6124,75.08,4.4,7.859,0.0,0
2020-04-30,TCS,1863.5054,-0.4404,75.08,4.4,7.859,0.0,0
2020-05-04,TCS,1785.7999,0.0,75.08,4.4,7.859,-0.04169856443667941,0
2020-05-04,TCS,1785.7999,-0.6124,75.08,4.4,7.859,0.0,1
2020-05-05,TCS,1787.9274,0.5423,75.08,4.4,7.859,0.0011913428822569738,0
2020-05-05,TCS,1787.9274,0.4588,75.08,4.4,7.859,0.0,0
2020-05-06,TCS,1760.9617,0.0,75.08,4.4,7.859,-0.015082100089746309,0
2020-05-06,TCS,1760.9617,0.0,75.08,4.4,7.859,0.0,0
2020-05-06,TCS,1760.9617,-0.2732,75.08,4.4,7.859,0.0,0
2020-05-06,TCS,1760.9617,0.0,75.08,4.4,7.859,0.0,0
2020-05-06,TCS,1760.9617,0.4215,75.08,4.4,7.859,0.0,0
2020-05-07,TCS,1749.907,0.0,75.08,4.4,7.859,-0.006277649309465505,1
2020-05-08,TCS,1751.5261,0.3818,75.08,4.4,7.859,0.0009252491703846122,0
2020-05-08,TCS,1751.5261,0.0,75.08,4.4,7.859,0.0,1
2020-05-11,TCS,1790.2865,0.0,75.08,4.4,7.859,0.022129501809878827,1
2020-05-12,TCS,1803.4221,0.0,75.08,4.4,7.859,0.0073371496685028514,0
2020-05-12,TCS,1803.4221,-0.3818,75.08,4.4,7.859,0.0,1
2020-05-13,TCS,1803.5609,0.0,75.365,4.4,7.859,7.696478822127872e-05,0
2020-05-13,TCS,1803.5609,0.0,75.365,4.4,7.859,0.0,0
2020-05-14,TCS,1759.8055,-0.3182,75.495,4.4,7.859,-0.024260561426010074,0
2020-05-15,TCS,1751.0635,0.0,75.83,4.4,7.859,-0.004967594430179911,1
2020-05-18,TCS,1799.8142,0.4215,75.7,4.4,7.859,0.0278406237123896,0
2020-05-18,TCS,1799.8142,0.4215,75.7,4.4,7.859,0.0,0
2020-05-18,TCS,1799.8142,0.4215,75.7,4.4,7.859,0.0,0
2020-05-18,TCS,1799.8142,0.0,75.7,4.4,7.859,0.0,0
2020-05-18,TCS,1799.8142,0.0,75.7,4.4,7.859,0.0,0
2020-05-18,TCS,1799.8142,0.0,75.7,4.4,7.859,0.0,0
2020-05-18,TCS,1799.8142,0.0,75.7,4.4,7.859,0.0,1
2020-05-19,TCS,1802.6361,-0.3182,75.645,4.4,7.859,0.001567884062699365,0
2020-05-19,TCS,1802.6361,0.2263,75.645,4.4,7.859,0.0,0
